query_id,query,gold,prediction,top1,top3,top5,mrr,ndcg5,latency_ms,confidence
1,সে খুব অলস এবং কোনো কাজ করতে চায় না।,কুঁড়ের বাঘ,কুঁড়ের বাঘ,1.0,1.0,1.0,1.0,,1059.687600005418,0.9423346553961438
2,সে খুব রেগে গেছে এবং প্রচণ্ড রাগান্বিত।,অগ্নিশর্মা,অগ্নিশর্মা,1.0,1.0,1.0,1.0,,940.0956000026781,0.9820239916801453
3,সে এমন বিপদে পড়েছে যেখান থেকে বের হওয়ার কোনো পথ পাচ্ছে না।,অকূল পাথারে পড়া,অকূল পাথারে পড়া,1.0,1.0,1.0,1.0,,1059.70189999789,0.9681839227676392
4,সে কী করবে বুঝতে পারছে না এবং খুব বিভ্রান্ত হয়ে গেছে।,অন্ধকার দেখা,অস্থির পাজক,0.0,1.0,1.0,0.3333333333333333,,641.7132999922615,0.8057777596592903
5,শেষ পর্যন্ত সে সফল হয়েছে এবং তার লক্ষ্য অর্জন করেছে।,কেল্লা ফতে,কেল্লা ফতে,1.0,1.0,1.0,1.0,,947.2672000119928,0.9969566404819489
6,সে কাজটি বারবার পিছিয়ে দিচ্ছে এবং সময় নষ্ট করছে।,আঠার মাসে বছর,আঠার মাসে বছর,1.0,1.0,1.0,1.0,,663.4637000097428,0.8856084762096406
7,লোকটি কৌশল করে অন্যদের ঠকিয়েছে।,কারিকুরি,গণ্ডায় আণ্ডা দেয়া,1.0,1.0,1.0,1.0,,1032.651999994414,0.9160454419612885
8,সে সফল হওয়ার জন্য খুব কঠোর পরিশ্রম করছে।,আদা জল খেয়ে লাগা,আদা জল খেয়ে লাগা,1.0,1.0,1.0,1.0,,1907.5541000056546,0.962744581437111
9,লোকটি খুব দরিদ্র এবং অর্থকষ্টে জীবনযাপন করছে।,আকালকেঁড়ে,আকালকেঁড়ে,1.0,1.0,1.0,1.0,,1799.7469999827445,0.7934447311580182
10,সে সারাদিন অপ্রয়োজনীয় ও অর্থহীন কথাবার্তা বলে।,অগড়-বগড় / অগড়ম-বগড়ম,আনাই-ধানাই,0.0,1.0,1.0,0.5,,1423.2259999844246,0.9996652692556381
11,পরিস্থিতির কারণে সে খুব উদ্বিগ্ন ও অস্থির হয়ে পড়েছে।,আঁকুপাঁকু করা,আঁকুপাঁকু করা,1.0,1.0,1.0,1.0,,633.2382000109646,0.8320252925872802
12,ঘটনাটি তাকে খুব কষ্ট দিয়েছে এবং তার মনে গভীর যন্ত্রণা হয়েছে।,আঁতে ঘা,কাঁটার জ্বালা,1.0,1.0,1.0,1.0,,1302.3051999916788,0.893766844391823
