query,gold,prediction,top1,top3,top5,mrr,error_type
সে খুব অলস এবং কোনো কাজ করতে চায় না।,কুঁড়ের বাঘ,কুঁড়ের বাঘ,1,1,1,1.000000,correct
সে খুব রেগে গেছে এবং প্রচণ্ড রাগান্বিত।,অগ্নিশর্মা,অগ্নিশর্মা,1,1,1,1.000000,correct
সে এমন বিপদে পড়েছে যেখান থেকে বের হওয়ার কোনো পথ পাচ্ছে না।,অকূল পাথারে পড়া,অকূল পাথারে পড়া,1,1,1,1.000000,correct
সে কী করবে বুঝতে পারছে না এবং খুব বিভ্রান্ত হয়ে গেছে।,অন্ধকার দেখা,অস্থির পাজক,0,1,1,0.333333,acceptable_in_top3
শেষ পর্যন্ত সে সফল হয়েছে এবং তার লক্ষ্য অর্জন করেছে।,কেল্লা ফতে,কেল্লা ফতে,1,1,1,1.000000,correct
সে কাজটি বারবার পিছিয়ে দিচ্ছে এবং সময় নষ্ট করছে।,আঠার মাসে বছর,আঠার মাসে বছর,1,1,1,1.000000,correct
লোকটি কৌশল করে অন্যদের ঠকিয়েছে।,কারিকুরি,গণ্ডায় আণ্ডা দেয়া,1,1,1,1.000000,correct
সে সফল হওয়ার জন্য খুব কঠোর পরিশ্রম করছে।,আদা জল খেয়ে লাগা,আদা জল খেয়ে লাগা,1,1,1,1.000000,correct
লোকটি খুব দরিদ্র এবং অর্থকষ্টে জীবনযাপন করছে।,আকালকেঁড়ে,আকালকেঁড়ে,1,1,1,1.000000,correct
সে সারাদিন অপ্রয়োজনীয় ও অর্থহীন কথাবার্তা বলে।,অগড়-বগড় / অগড়ম-বগড়ম,আনাই-ধানাই,0,1,1,0.500000,acceptable_in_top3
পরিস্থিতির কারণে সে খুব উদ্বিগ্ন ও অস্থির হয়ে পড়েছে।,আঁকুপাঁকু করা,আঁকুপাঁকু করা,1,1,1,1.000000,correct
ঘটনাটি তাকে খুব কষ্ট দিয়েছে এবং তার মনে গভীর যন্ত্রণা হয়েছে।,আঁতে ঘা,কাঁটার জ্বালা,1,1,1,1.000000,correct
